Question,Answer
Who authored the paper?,"B.P. Abbott et al., from the LIGO Scientific Collaboration and Virgo Collaboration."
What was the name of the detected event?,GW150914.
When was the gravitational wave detected?,"September 14, 2015, at 09:50:45 UTC."
Which detectors observed the event?,LIGO Hanford (H1) and LIGO Livingston (L1).
What does LIGO stand for?,Laser Interferometer Gravitational-Wave Observatory.
What created the detected gravitational wave?,The merger of two stellar-mass black holes.
What were the approximate masses of the two black holes?,36 and 29 times the mass of the Sun.
What was the mass of the final black hole after the merger?,62 solar masses.
How much energy was radiated as gravitational waves?,About 3 solar masses worth of energy.
What was the peak frequency range of the signal?,From 35 Hz to 250 Hz.
What was the peak strain amplitude of the signal?,About 1.0×10−211.0 \times 10^{-21}1.0×10−21.
What is the significance level of the detection?,Greater than 5.1 sigma.
How far away was the source of GW150914?,Around 410 megaparsecs (about 1.3 billion light-years).
What does this detection confirm?,The existence of binary black hole mergers and direct detection of gravitational waves.
Which theory's prediction did this observation confirm?,"General relativity, as proposed by Albert Einstein."
